feature_Rank,feature_Index,feature_Name,feature_importance
1,3,Overall Qual,0.2679027770942887
2,13,Gr Liv Area,0.16013203800554968
3,9,Total Bsmt SF,0.10304367515906905
4,22,Garage Cars,0.08371897177984339
5,2,Lot Area,0.045992086756600666
6,8,Bsmt Unf SF,0.040431488893712224
7,23,Garage Area,0.038005064298552056
8,10,1st Flr SF,0.036758377221190255
9,6,BsmtFin SF 1,0.031743633753159924
10,4,Overall Cond,0.02860521740067593
11,24,Wood Deck SF,0.020394618910851033
12,5,Mas Vnr Area,0.019511078905928753
13,1,Lot Frontage,0.01693891025993557
14,21,Fireplaces,0.016010289084576895
15,26,Enclosed Porch,0.013165590232579825
16,31,Mo Sold,0.01175856368750208
17,11,2nd Flr SF,0.010636822356153307
18,25,Open Porch SF,0.01052705471673415
19,20,TotRms AbvGrd,0.007999314250858374
20,7,BsmtFin SF 2,0.007540073037562625
21,16,Full Bath,0.006436970382599902
22,28,Screen Porch,0.004946449167857229
23,14,Bsmt Full Bath,0.004340002351503237
24,30,Misc Val,0.0035980412638458976
25,17,Half Bath,0.003358470264598148
26,18,Bedroom AbvGr,0.003199699602627297
27,27,3Ssn Porch,0.0022591596641745974
28,12,Low Qual Fin SF,0.0010455614974692348
29,15,Bsmt Half Bath,0.0
30,19,Kitchen AbvGr,0.0
31,29,Pool Area,0.0
32,0,MS SubClass,0.0
